8/30/2013,-61.54,*,,BANKCARD-8566 BTOT DEP 130829 518089424227932 ANIMAL ELEMENT
8/29/2013,276.1,*,,Animal Element 3104000256 130828 100145976375 Animal Element 0
8/29/2013,594.95,*,,BANKCARD-8566 MTOT DEP 130828 518089424227932 ANIMAL ELEMENT
8/28/2013,-370,*,,BILL PAY Brian Drummond ON-LINE No Account Number ON 08-28
8/28/2013,61.54,*,,BANKCARD-8566 MTOT DEP 130827 518089424227932 ANIMAL ELEMENT
8/28/2013,1168.47,*,,Animal Element 3104000256 130827 100145850900 Animal Element 0
8/27/2013,-3000,*,,WF Direct Pay-Payment- Tran ID DP038384976
8/27/2013,152.9,*,,BANKCARD-8566 MTOT DEP 130826 518089424227932 ANIMAL ELEMENT
8/27/2013,590.28,*,,Animal Element 3104000256 130826 100145627646 Animal Element 0
8/27/2013,1039.88,*,,Animal Element 3104000256 130826 100145552319 Animal Element 0
8/27/2013,1998.58,*,,Animal Element 3104000256 130826 100145726858 Animal Element 0
8/26/2013,-55.56,*,,PAYPAL INST XFER 130824 4X4J27DKTWC6L ANIMAL ELEMENT
8/26/2013,-83.44,*,,PAYPAL INST XFER 130826 4X4J27DRX2PTE ANIMAL ELEMENT
8/26/2013,-200,*,,VARUN KUMAR IAT PAYPAL 130826 J2222223L3ZXA ANIMAL ELEMENT
8/26/2013,417.17,*,,BANKCARD-8566 MTOT DEP 130823 518089424227932 ANIMAL ELEMENT
8/23/2013,-176,*,,NAVRANG OZA IAT PAYPAL 130823 J2222223JJQJJ ANIMAL ELEMENT
8/23/2013,-163.77,*,,BILL PAY UNISHIPPERS ON-LINE xxxxxx18731 ON 08-23
8/23/2013,260.87,*,,BANKCARD-8566 MTOT DEP 130822 518089424227932 ANIMAL ELEMENT
8/22/2013,-99,*,,CHECK CRD PURCHASE 08/21 ROCKET WEB 855-624-3686 IL 425907XXXXXX3535 083232793587721 ?MCC=5045
8/22/2013,325.81,*,,BANKCARD-8566 MTOT DEP 130821 518089424227932 ANIMAL ELEMENT
8/21/2013,181.62,*,,BANKCARD-8566 BTOT DEP 130820 518089424227932 ANIMAL ELEMENT
8/21/2013,260.7,*,,Animal Element 3104000256 130820 100145079260 Animal Element 0
8/20/2013,-49.54,*,,PAYPAL INST XFER 130820 4X4J27D69TNQN ANIMAL ELEMENT
8/20/2013,-587.5,*,,BILL PAY APP GLOBAL INC. ON-LINE No Account Number ON 08-20
8/20/2013,87.8,*,,BANKCARD-8566 MTOT DEP 130819 518089424227932 ANIMAL ELEMENT
8/20/2013,1414.65,*,,Animal Element 3104000256 130819 100144861207 Animal Element 0
8/20/2013,1815.33,*,,Animal Element 3104000256 130819 100144955781 Animal Element 0
8/19/2013,-2775,*,,WF Direct Pay-Payment- Tran ID DP038150556
8/19/2013,-15,*,,RECUR DEBIT CRD PMT08/18 PAYPAL *TRAVELINGM 402-935-7733 NC 425907XXXXXX3535 083230414781616 ?MCC=7311
8/19/2013,99.45,*,,BANKCARD-8566 MTOT DEP 130818 518089424227932 ANIMAL ELEMENT
8/19/2013,199.66,*,,BANKCARD-8566 MTOT DEP 130818 518089424227932 ANIMAL ELEMENT
8/16/2013,-50,*,,BILL PAY VICKI FRENCH RECURRINGNo account number ON 08-16
8/16/2013,373.43,*,,BANKCARD-8566 BTOT DEP 130815 518089424227932 ANIMAL ELEMENT
8/15/2013,-100,*,,RECURRING TRANSFER TO ANIMAL ELEMENT LLC BUSINESS MARKET RATE SAVINGS REF #OPEMXD9FXK XXXXXX6133
8/15/2013,666.97,*,,Animal Element 3104000256 130814 100144411629 Animal Element 0
8/15/2013,2691.56,*,,BANKCARD-8566 BTOT DEP 130814 518089424227932 ANIMAL ELEMENT
8/14/2013,-322.19,*,,BILL PAY Old Dominion Fre ON-LINE No Account Number ON 08-14
8/14/2013,-269.04,*,,BILL PAY UNISHIPPERS ON-LINE xxxxxx18731 ON 08-14
8/14/2013,-105.78,*,,RECUR DEBIT CRD PMT08/13 T-MOBILE RECURRING 800-937-8997 WA 425907XXXXXX3535 003225433770826 ?MCC=4814
8/13/2013,-250,*,,WF Direct Pay-Payment- Tran ID DP037941758
8/13/2013,287.4,*,,Animal Element 3104000256 130812 100144084954 Animal Element 0
8/13/2013,1673.08,*,,Animal Element 3104000256 130812 100144015181 Animal Element 0
8/12/2013,-10,*,,RECUR DEBIT CRD PMT08/11 BACKBLAZE BACKUP 650-352-3738 CA 425907XXXXXX3535 283223459624097 ?MCC=5734
8/12/2013,-29,*,,CHECK CRD PURCHASE 08/09 D&B*HOOVERS 866-307-3812 TX 425907XXXXXX3535 083221776681183 ?MCC=7399
8/12/2013,108.95,*,,BANKCARD-8566 MTOT DEP 130811 518089424227932 ANIMAL ELEMENT
8/12/2013,213.87,*,,BANKCARD-8566 MTOT DEP 130811 518089424227932 ANIMAL ELEMENT
8/9/2013,-233.08,*,,WF Direct Pay-Payment- Tran ID DP037877402
8/9/2013,108.95,*,,BANKCARD-8566 MTOT DEP 130808 518089424227932 ANIMAL ELEMENT
8/8/2013,-4,*,,DIRECT PAY INDIVIDUAL PYMT TRANS
8/8/2013,-10,*,,DIRECT PAY MONTHLY BASE
8/8/2013,-14.95,*,,QUICKBOOKS BANKING
8/8/2013,99.45,*,,BANKCARD-8566 MTOT DEP 130807 518089424227932 ANIMAL ELEMENT
8/8/2013,1044.26,*,,Animal Element 3104000256 130807 100143679425 Animal Element 0
8/7/2013,-7.95,*,,"Bluepay,Inc. 8667398324 130806 100143571470 Animal Element 000"
8/7/2013,-18.94,*,,"Bluepay,Inc. 8667398324 130806 100143570018 Animal Element 000"
8/7/2013,-1086,*,,BILL PAY TENNESSEE FARMER ON-LINE No Account Number ON 08-07
8/7/2013,147.67,*,,Animal Element 3104000256 130806 100143558230 Animal Element 0
8/7/2013,618.3,*,,BANKCARD-8566 BTOT DEP 130806 518089424227932 ANIMAL ELEMENT
8/6/2013,-184.5,*,,BILL PAY DFW DISTRIBUTION ON-LINE No account number ON 08-06
8/6/2013,-54.63,*,,BILL PAY GRAPHIC PRODUCTI ON-LINE No account number ON 08-06
8/6/2013,-0.67,*,,CHECK CRD PURCHASE 08/06 Amazon Web Service aws.amazon.co WA 425907XXXXXX3535 083218111901103 ?MCC=7399
8/6/2013,-248,*,,WF Direct Pay-Payment- Tran ID DP037716876
8/6/2013,-232,*,,CHECK CRD PURCHASE 08/05 NATURVET 888-628-8783 CA 425907XXXXXX3535 083217847810277 ?MCC=5199
8/6/2013,-35.24,*,,"CHECK CRD PURCHASE 08/05 RINGCENTRAL, INC 650-4724100 CA 425907XXXXXX3535 383217450579922 ?MCC=4814"
8/6/2013,297.06,*,,BANKCARD-8566 MTOT DISC 130731 518089424227932 ANIMAL ELEMENT
8/6/2013,400,*,,Animal Element 3104000256 130805 100143183508 Animal Element 0
